UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,id,Machine failure.1,rule_tachycardia,rule_tachypnea,rule_temp,rule_wbc,clinical_flag,meets_clinical_rule
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,136429.0,0.005779303,False,False,False,False,0,False
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,136430.0,0.012966465,False,False,False,False,0,False
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,136431.0,0.004958784,False,False,False,False,0,False
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,136432.0,0.007902521,False,False,False,False,0,False
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,136433.0,0.00691982,False,False,False,False,0,False
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,136434.0,0.043729432,False,False,False,False,0,False
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,136435.0,0.019245786,False,False,False,False,0,False
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,136436.0,0.009972786,False,False,False,False,0,False
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,136437.0,0.004624398,False,False,False,False,0,False
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,136438.0,0.010220576,False,False,False,False,0,False
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,136439.0,0.006434887,False,False,False,False,0,False
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,136440.0,0.007361944,False,False,False,False,0,False
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,136441.0,0.005098995,False,False,False,False,0,False
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,136442.0,0.003835635,False,False,False,False,0,False
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,136443.0,0.005651754,False,False,False,False,0,False
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,136444.0,0.013350109,False,False,False,False,0,False
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,136445.0,0.004883447,False,False,False,False,0,False
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,136446.0,0.956746838,False,False,False,False,0,False
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,136447.0,0.003842019,False,False,False,False,0,False
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,136448.0,0.005011258,False,False,False,False,0,False
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,136449.0,0.019262475,False,False,False,False,0,False
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,136450.0,0.005418102,False,False,False,False,0,False
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,136451.0,0.019685772,False,False,False,False,0,False
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,136452.0,0.156103633,False,False,False,False,0,False
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,136453.0,0.009113862,False,False,False,False,0,False
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,136454.0,0.004778197,False,False,False,False,0,False
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,136455.0,0.004578129,False,False,False,False,0,False
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,136456.0,0.006623084,False,False,False,False,0,False
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,136457.0,0.007344343,False,False,False,False,0,False
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,136458.0,0.008087321,False,False,False,False,0,False
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,136459.0,0.042678193,False,False,False,False,0,False
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,136460.0,0.022336765,False,False,False,False,0,False
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,136461.0,0.005504613,False,False,False,False,0,False
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,136462.0,0.073969664,False,False,False,False,0,False
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,136463.0,0.147747608,False,False,False,False,0,False
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,136464.0,0.006847211,False,False,False,False,0,False
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,136465.0,0.005150004,False,False,False,False,0,False
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,136466.0,0.013774762,False,False,False,False,0,False
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,136467.0,0.006722579,False,False,False,False,0,False
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,136468.0,0.007172952,False,False,False,False,0,False
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,136469.0,0.115827079,False,False,False,False,0,False
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,136470.0,0.005237586,False,False,False,False,0,False
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,136471.0,0.08097417,False,False,False,False,0,False
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,136472.0,0.01475988,False,False,False,False,0,False
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,136473.0,0.008126177,False,False,False,False,0,False
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,136474.0,0.004472559,False,False,False,False,0,False
